h derivative
1 1.08616 -1.06469 
0.5 1.02101 -1.67762 
0.25 1.00522 -2.2824 
0.125 1.0013 -2.88514 
0.0625 1.00033 -3.48736 
0.03125 1.00008 -4.08947 
0.015625 1.00002 -4.69154 
0.0078125 1.00001 -5.2936 
0.00390625 1 -5.89566 
0.00195312 1 -6.49775 
0.000976562 1 -7.10021 
0.000488281 1 -7.68848 
0.000244141 1 -8.42884 
0.00012207 1 -7.82678 
6.10352e-05 1 -7.22472 
3.05176e-05 1 -6.62266 
1.52588e-05 1 -6.0206 
7.62939e-06 1 -inf 
3.8147e-06 1 -inf 
1.90735e-06 1 -inf 
9.53674e-07 1 -inf 
4.76837e-07 1 -inf 
2.38419e-07 1 -inf 
1.19209e-07 1 -inf 
5.96046e-08 1 -inf 
2.98023e-08 1 -inf 
1.49012e-08 1 -inf 
7.45058e-09 0 0 
3.72529e-09 0 0 
1.86265e-09 0 0 
9.31323e-10 0 0 
4.65661e-10 0 0 
2.32831e-10 0 0 
1.16415e-10 0 0 
5.82077e-11 0 0 
2.91038e-11 0 0 
1.45519e-11 0 0 
7.27596e-12 0 0 
3.63798e-12 0 0 
1.81899e-12 0 0 
9.09495e-13 0 0 
4.54747e-13 0 0 
2.27374e-13 0 0 
1.13687e-13 0 0 
5.68434e-14 0 0 
2.84217e-14 0 0 
1.42109e-14 0 0 
7.10543e-15 0 0 
3.55271e-15 0 0 
1.77636e-15 0 0 
