1 -1.99725  0.9993125 2
2 -1.998025  0.99950625 3
3 -1.9901167  0.99705417 5
4 -1.9880125  0.99664688 6
5 -1.99041  0.9973175 6
6 -1.9920083  0.99776458 6
7 -1.99315  0.99808393 6
8 -1.9940062  0.99832344 6
9 -1.9946722  0.99850972 6
10 -1.995205  0.99865875 6
11 -1.9956409  0.99878068 6
12 -1.9960042  0.99888229 6
13 -1.9956154  0.99879423 8
14 -1.9937857  0.99834464 9
15 -1.9936333  0.99831333 10
16 -1.9940312  0.99841875 10
17 -1.9943824  0.99851176 10
18 -1.9946944  0.99859444 10
19 -1.9949737  0.99866842 10
20 -1.995225  0.998735 10
21 -1.9954524  0.99879524 10
22 -1.9956591  0.99885 10
23 -1.9958478  0.9989 10
24 -1.9960208  0.99894583 10
25 -1.99618  0.998988 10
26 -1.9963269  0.99902692 10
27 -1.996463  0.99906296 10
28 -1.9962732  0.99901741 11
29 -1.9962914  0.99902371 12
30 -1.996415  0.99905625 12
31 -1.9965306  0.99908669 12
32 -1.9966391  0.99911523 12
33 -1.9967409  0.99914205 12
34 -1.9968368  0.99916728 12
35 -1.9969271  0.99919107 12
36 -1.9970125  0.99921354 12
37 -1.9970932  0.9992348 12
38 -1.9971697  0.99925493 12
39 -1.9972423  0.99927404 12
40 -1.9973113  0.99929219 12
41 -1.9973768  0.99930945 12
42 -1.9974393  0.99932589 12
43 -1.9974988  0.99934157 12
44 -1.9975557  0.99935653 12
45 -1.9972711  0.99928611 13
46 -1.9972239  0.999275 14
47 -1.997283  0.99929043 14
48 -1.9970146  0.99922396 15
49 -1.9969092  0.99919821 16
50 -1.996971  0.99921425 16
51 -1.9970304  0.99922966 16
52 -1.9970875  0.99924447 16
53 -1.9971425  0.99925873 16
54 -1.9971954  0.99927245 16
55 -1.9972464  0.99928568 16
56 -1.9972955  0.99929844 16
57 -1.9970754  0.99924386 19
58 -1.9970353  0.99923427 20
59 -1.9970856  0.99924725 20
60 -1.9971342  0.99925979 20
61 -1.9971516  0.99926455 22
62 -1.9970605  0.99924214 23
63 -1.9970929  0.9992506 24
64 -1.9971383  0.9992623 24
65 -1.9971823  0.99927365 24
66 -1.997225  0.99928466 24
67 -1.9972664  0.99929534 24
68 -1.9973066  0.9993057 24
69 -1.9973457  0.99931576 24
70 -1.9973836  0.99932554 24
71 -1.9974204  0.99933504 24
72 -1.9974562  0.99934427 24
73 -1.9974911  0.99935325 24
74 -1.997525  0.99936199 24
75 -1.997558  0.9993705 24
76 -1.9975901  0.99937878 24
77 -1.9976214  0.99938685 24
78 -1.9976519  0.99939471 24
79 -1.9974848  0.99935316 25
80 -1.9972663  0.99929875 25
81 -1.9970531  0.99924568 25
82 -1.9970677  0.99924954 26
83 -1.997103  0.99925858 26
84 -1.9971375  0.99926741 26
85 -1.9971129  0.99926147 27
86 -1.9971215  0.99926381 28
87 -1.9971546  0.99927227 28
88 -1.9971869  0.99928054 28
89 -1.9972185  0.99928862 28
90 -1.9972494  0.99929653 28
91 -1.9972797  0.99930426 28
92 -1.9973092  0.99931182 28
93 -1.9973382  0.99931922 28
94 -1.9973665  0.99932646 28
95 -1.9973942  0.99933355 28
96 -1.9974214  0.99934049 28
97 -1.9974479  0.99934729 28
98 -1.9973112  0.99931327 29
99 -1.9970848  0.99924394 31
100 -1.9970955  0.99924687 32
101 -1.9969975  0.99922265 33
102 -1.9969319  0.9992065 34
103 -1.9969617  0.9992142 34
104 -1.9969909  0.99922175 34
105 -1.9970195  0.99922917 34
106 -1.9970476  0.99923644 34
107 -1.9970752  0.99924357 34
108 -1.9971023  0.99925058 34
109 -1.9971289  0.99925745 34
