1 -0.4687  0.0970875 212
2 -0.6767125  0.111475 339
3 -0.82029167  0.1132 425
4 -0.919575  0.11680312 493
5 -0.996965  0.1312825 581
6 -1.0618833  0.15072083 634
7 -1.1158786  0.1784875 691
8 -1.1628938  0.202125 738
9 -1.2058222  0.22909444 783
10 -1.246035  0.25558125 822
11 -1.2803023  0.27587273 865
12 -1.3080667  0.29219062 897
13 -1.3318442  0.30620096 933
14 -1.3521054  0.31900982 961
15 -1.3709117  0.3314975 995
16 -1.3874578  0.3454 1039
17 -1.4031882  0.35989853 1083
18 -1.4181792  0.37244097 1111
19 -1.4318539  0.384275 1152
20 -1.4443862  0.39445938 1184
21 -1.4564821  0.40487024 1222
22 -1.4684523  0.41290966 1237
23 -1.4793891  0.42030217 1260
24 -1.4895677  0.42862344 1280
25 -1.49944  0.438773 1304
26 -1.5089885  0.44897933 1324
27 -1.5184519  0.45959676 1344
28 -1.5287027  0.47032232 1358
29 -1.5380578  0.48093707 1371
30 -1.5478142  0.49147875 1391
31 -1.5579395  0.50220202 1401
32 -1.5679539  0.51288828 1409
33 -1.5775348  0.52350947 1421
34 -1.5862838  0.53308456 1444
35 -1.5951221  0.54334786 1450
36 -1.6037576  0.553825 1460
37 -1.6122392  0.56415101 1470
38 -1.6206822  0.57455461 1480
39 -1.6295077  0.58519904 1483
40 -1.63877  0.59556906 1483
41 -1.6475805  0.60543323 1483
42 -1.6559714  0.61482768 1483
43 -1.6639721  0.62378517 1483
44 -1.6716091  0.63233551 1483
45 -1.6789067  0.64050583 1483
46 -1.685887  0.64832092 1483
47 -1.6925702  0.65580346 1483
48 -1.698975  0.66297422 1483
49 -1.7051184  0.6698523 1483
50 -1.711016  0.67645525 1483
51 -1.7166824  0.68279926 1483
52 -1.7221308  0.68889928 1483
53 -1.7273736  0.6947691 1483
54 -1.7324222  0.70042153 1483
55 -1.7372873  0.70586841 1483
56 -1.7419786  0.71112076 1483
57 -1.7465053  0.71618882 1483
58 -1.7508759  0.72108211 1483
59 -1.7550983  0.72580953 1483
60 -1.7588867  0.73030604 1485
61 -1.7624984  0.73464201 1486
62 -1.765971  0.73882359 1487
63 -1.7693405  0.74287599 1488
64 -1.7728625  0.74687305 1489
65 -1.7763569  0.75076731 1489
66 -1.7797455  0.75454356 1489
