1 -2  1 0
2 -1.997325  0.99933125 1
3 -1.99155  0.9978875 1
4 -1.9886625  0.99716563 1
5 -1.98693  0.9967325 1
6 -1.985775  0.99644375 1
7 -1.9853071  0.99630893 6
8 -1.9871437  0.99677031 6
9 -1.9885722  0.99712917 6
10 -1.989715  0.99741625 6
11 -1.99065  0.99765114 6
12 -1.9912583  0.99780417 8
13 -1.9919308  0.99797308 8
14 -1.9923857  0.9980875 9
15 -1.99156  0.99788167 9
16 -1.9908375  0.99770156 9
17 -1.9902  0.99754265 9
18 -1.9896333  0.99740139 9
19 -1.9898237  0.99744934 10
20 -1.9903325  0.99757688 10
21 -1.9907929  0.99769226 10
22 -1.9912114  0.99779716 10
23 -1.9915935  0.99789293 10
24 -1.9919437  0.99798073 10
25 -1.992266  0.9980615 10
26 -1.9925635  0.99813606 10
27 -1.9926148  0.99814907 12
28 -1.991725  0.99792679 14
29 -1.9920103  0.99799828 14
30 -1.9922767  0.998065 14
31 -1.9925258  0.99812742 14
32 -1.9927094  0.99817344 15
33 -1.9928606  0.99821136 16
34 -1.9930706  0.99826397 16
35 -1.9932686  0.99831357 16
36 -1.9934556  0.99836042 16
37 -1.9936324  0.99840473 16
38 -1.9933592  0.99833651 17
39 -1.9932205  0.99830192 18
40 -1.99339  0.99834437 18
41 -1.9935512  0.99838476 18
42 -1.9937048  0.99842321 18
43 -1.9938512  0.99845988 18
44 -1.9939909  0.99849489 18
45 -1.9941244  0.99852833 18
46 -1.9942522  0.99856033 18
47 -1.993967  0.9984891 19
48 -1.9939573  0.99848672 22
49 -1.9940806  0.9985176 22
50 -1.994199  0.99854725 22
51 -1.9943127  0.99857574 22
52 -1.9944221  0.99860313 22
53 -1.9945274  0.99862948 22
54 -1.9944759  0.99861667 23
55 -1.9943355  0.99858159 24
56 -1.9944366  0.99860692 24
57 -1.9945342  0.99863136 24
58 -1.9946284  0.99865496 24
59 -1.9947195  0.99867775 24
60 -1.9948075  0.99869979 24
61 -1.9948926  0.99872111 24
62 -1.994975  0.99874173 24
63 -1.9950548  0.99876171 24
64 -1.995132  0.99878105 24
65 -1.9951992  0.99879788 25
66 -1.9949689  0.99874034 25
67 -1.9948142  0.99870168 26
68 -1.9948904  0.99872077 26
